Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
Date,,,,,
2024-10-24,20489.619140625,20685.4609375,20448.4609375,20576.05078125,2725600000
2024-10-25,20590.150390625,20784.470703125,20521.94921875,20521.94921875,2984600000
2024-10-28,20599.359375,20669.41015625,20428.939453125,20592.740234375,2978600000
2024-10-29,20701.140625,20890.080078125,20563.740234375,20729.98046875,3137700000
2024-10-30,20380.640625,20681.51953125,20270.0703125,20586.55078125,3626500000
2024-10-31,20317.330078125,20553.30078125,20317.330078125,20414.19921875,3238200000
2024-11-01,20506.4296875,20667.220703125,20353.33984375,20427.880859375,3278800000
2024-11-04,20567.51953125,20633.580078125,20446.259765625,20584.44921875,2463600000
2024-11-05,21006.970703125,21006.970703125,20409.939453125,20409.939453125,3147300000
2024-11-06,20538.380859375,20859.66015625,20361.919921875,20791.80078125,3903900000
2024-11-07,20953.33984375,20986.310546875,20370.439453125,20386.359375,4317500000
2024-11-08,20728.189453125,21355.439453125,20705.119140625,21199.9609375,4153500000
2024-11-11,20426.9296875,20505.009765625,20151.380859375,20258.140625,3649700000
2024-11-12,19846.880859375,20517.240234375,19761.310546875,20334.08984375,4319500000
2024-11-13,19823.44921875,19840.279296875,19608.3203125,19671.919921875,2862300000
2024-11-14,19435.810546875,19859.169921875,19392.58984375,19626.259765625,3310000000
2024-11-15,19426.33984375,19608.240234375,19332.33984375,19503.029296875,2947200000
2024-11-18,19576.609375,19781.080078125,19470.4296875,19595.5,3176400000
2024-11-19,19663.669921875,19758.5703125,19522.58984375,19699.810546875,2529900000
2024-11-20,19705.009765625,19752.9296875,19575.91015625,19623.390625,2057500000
2024-11-21,19601.109375,19764.619140625,19552.5,19646.0390625,2079200000
2024-11-22,19229.970703125,19711.400390625,19134.58984375,19613.55078125,3237600000
2024-11-25,19150.990234375,19351.060546875,19102.060546875,19307.33984375,4385600000
2024-11-26,19159.19921875,19295.75,19054.400390625,19054.400390625,2384700000
2024-11-27,19603.130859375,19660.990234375,19061.599609375,19187.05078125,2374800000
2024-11-28,19366.9609375,19558.1796875,19312.259765625,19558.1796875,2160800000
2024-11-29,19423.609375,19658.19921875,19312.41015625,19346.619140625,2487600000
2024-12-02,19550.2890625,19690.220703125,19387.19921875,19442.310546875,2392300000
2024-12-03,19746.3203125,19768.3203125,19386.8203125,19585.349609375,2625300000
2024-12-04,19742.4609375,19823.08984375,19615.609375,19722.150390625,2589100000
2024-12-05,19560.439453125,19642.73046875,19466.689453125,19578.66015625,2007500000
2024-12-06,19865.849609375,19934.720703125,19566.2890625,19611.619140625,3493300000
2024-12-09,20414.08984375,20433.73046875,19695.509765625,19732.279296875,3960600000
2024-12-10,20311.279296875,21070.05078125,20308.859375,21070.05078125,4472400000
2024-12-11,20155.05078125,20481.369140625,20100.0703125,20404.5,2300100000
2024-12-12,20397.05078125,20546.439453125,20121.470703125,20213.240234375,2777100000
2024-12-13,19971.240234375,20238.2109375,19927.26953125,20238.2109375,3106800000
2024-12-16,19795.490234375,20049.2109375,19726.150390625,19947.23046875,2699600000
2024-12-17,19700.48046875,19930.830078125,19620.630859375,19678.029296875,2787100000
2024-12-18,19864.55078125,19953.529296875,19802.220703125,19884.5390625,2288100000
2024-12-19,19752.509765625,19849.029296875,19591.490234375,19610.099609375,2385000000
2024-12-20,19720.69921875,19875.900390625,19692.6796875,19697.060546875,3501200000
2024-12-23,19883.130859375,19937.390625,19746.4609375,19843.650390625,3403600000
2024-12-24,20098.2890625,20165.4609375,19908.5703125,19911.5,2206500000
2024-12-27,20090.4609375,20184.880859375,20009.94921875,20083.439453125,2906600000
2024-12-30,20041.419921875,20193.08984375,19968.0703125,20124.75,2724900000
2024-12-31,20059.94921875,20180.400390625,20003.359375,20003.359375,1722100000
2025-01-02,19623.3203125,19932.80078125,19542.98046875,19932.80078125,4033400000
2025-01-03,19760.26953125,19891.859375,19634.0703125,19708.740234375,3393800000
2025-01-06,19688.2890625,19851.55078125,19627.83984375,19848.7109375,2465700000
2025-01-07,19447.580078125,19668.650390625,19252.609375,19501.44921875,3581000000
2025-01-08,19279.83984375,19483.58984375,19111.5390625,19390.759765625,3232400000
2025-01-09,19240.890625,19405.740234375,19227.73046875,19254.380859375,2456500000
2025-01-10,19064.2890625,19370.490234375,19036.640625,19328.0703125,2606700000
2025-01-13,18874.140625,18929.119140625,18671.490234375,18918.150390625,2754800000
2025-01-14,19219.779296875,19318.359375,18901.560546875,18901.560546875,2838600000
2025-01-15,19286.0703125,19319.220703125,19149.939453125,19149.939453125,2451900000
2025-01-16,19522.890625,19664.390625,19345.189453125,19454.919921875,2710700000
2025-01-17,19584.060546875,19640.369140625,19423.69921875,19499.099609375,2435800000
2025-01-20,19925.810546875,20093.650390625,19786.73046875,19804.640625,2764400000
2025-01-21,20106.55078125,20205.25,19920.310546875,20128.33984375,2412100000
2025-01-22,19778.76953125,20022.33984375,19733.2109375,19997.08984375,2282100000
2025-01-23,19700.560546875,20044.060546875,19644.830078125,19881.3203125,3059700000
2025-01-24,20066.189453125,20144.0,19768.130859375,19842.849609375,3209800000
2025-01-27,20197.76953125,20296.939453125,20118.01953125,20118.01953125,2751200000
